,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,0
0,2016-03-14,Williamtown,19.0,29.8,0.0,7.6,7.6,SE,28.0,NW,SE,13.0,19.0,83.0,58.0,1016.4,1013.5,7.0,3.0,23.3,29.2,0
1,2014-09-15,Hobart,5.8,12.6,0.0,3.4,6.8,ESE,31.0,N,SE,15.0,19.0,,46.0,1019.0,1016.6,7.0,1.0,8.1,11.6,0
2,2015-07-17,Watsonia,6.6,11.8,2.6,1.2,2.0,S,39.0,SW,SSW,11.0,20.0,100.0,81.0,1022.0,1021.7,8.0,7.0,8.1,11.5,0
3,2015-01-12,Uluru,18.0,34.6,0.0,,,SW,39.0,E,SW,2.0,17.0,64.0,32.0,1006.7,1003.1,,1.0,24.6,33.2,0
4,2017-02-25,Launceston,13.3,23.2,0.0,,,NNW,35.0,SSE,N,17.0,9.0,43.0,33.0,,,6.0,1.0,14.5,22.4,0
5,2014-09-14,Richmond,9.1,25.5,0.0,,,SE,35.0,ENE,E,6.0,4.0,95.0,41.0,1020.8,1014.9,3.0,1.0,14.0,25.2,0
6,2016-08-02,Cobar,8.5,10.1,1.0,2.0,,SW,44.0,SSW,SW,15.0,20.0,96.0,90.0,1013.3,1012.9,8.0,8.0,9.9,8.5,1
7,2013-01-14,Cairns,21.4,31.1,0.0,10.4,12.3,NNE,31.0,E,NNE,7.0,17.0,63.0,58.0,1009.5,1007.1,2.0,1.0,28.8,30.4,0
8,2013-05-11,Ballarat,9.4,21.7,0.0,,,N,50.0,NNE,N,20.0,35.0,66.0,36.0,1027.5,1022.9,,,14.2,20.3,0
9,2015-10-01,Launceston,6.2,15.3,0.0,,,NNW,48.0,NNW,NNW,24.0,28.0,71.0,77.0,,,8.0,8.0,11.5,14.0,0
10,2013-01-14,SalmonGums,18.8,32.8,1.4,,,NE,39.0,NE,NE,19.0,11.0,91.0,51.0,,,,,18.9,30.3,0
11,2013-09-07,Sale,8.1,17.6,0.0,1.2,5.0,WSW,56.0,W,WSW,15.0,28.0,65.0,50.0,1023.9,1022.8,4.0,6.0,13.9,16.2,0
