ID,商品名称,价格（元）,近30天销量（件）,广告词,促销活动,评论数,日期,品牌
560796460750 ,红星二锅头酒白扁56度100ml瓶装清香型白酒小扁二,12,961,,,402,2018/2/27,红星
45870740587 ,致中和 韧劲酒香 35度低度小酒125ml 酒厂直供,12.6,115,致中和,满2件7.5折,1750,2018/2/27,致中和
43211682074 ,红星二锅头酒大二绿瓶56度 500ml清香型白酒酒厂直供,13,8703,整箱原厂包装 见详情链接,满99元减10元,22575,2018/2/27,红星
43261836143 ,42度牛栏山陈酿500ml 二锅头白酒白牛 浓香型白酒,13,12722,正宗牛栏山 地道北京味,,18083,2018/2/27,牛栏山
540741239830 ,致中和35度小百年白酒125ml/瓶 建德特产 酒厂直供,15,28,,,3103,2018/2/27,致中和
44646135143 ,四特酒莲四系列莲四52度 500ml特香型白酒江西名酒酒厂直供,16,203,特香典范 中国四特 猫超自营 百城次日达,,2469,2018/2/27,四特
533909289770 ,汾酒 山西杏花村竹叶青酒38度玻竹150ml清香型酒,17.5,143,竹叶青 露酒,,1133,2018/2/27,汾酒
542806723433 ,泸州老窖泸小二 42度 125ml 中度 白酒,18,79,,,941,2018/2/27,泸州老窖
525051924381 ,洋河 绿敦煌大曲 42度500ml 浓香型白酒 猫超自营,19,1187,敦煌大曲 老牌名酒,,2404,2018/2/27,洋河
533767751992 ,牛栏山42度塑桶二锅头2L 清香型桶装白酒特价大牛桶,19.9,2029,正宗牛栏山 地道北京味,,7060,2018/2/27,牛栏山
538705671233 ,安达情闷倒驴60度圆钢壶750ml单瓶装清香型白酒,19.9,218,纯粮高度酒 好喝不上头,,364,2018/2/27,安达情
540011154689 ,泸州老窖 泸州原浆柔和 52度 500mL 白酒浓香型,20,3116,,,25921,2018/2/27,泸州老窖
523751557195 ,红星二锅头大二56度 750ml酒厂直供包装更新中,20,763,老百姓爱喝的二锅头 天猫自营 百城次日达,满99元减10元,2253,2018/2/27,红星
551838729137 ,【天猫超市】双沟青优42度200ml猫超新品小酒超值优惠酒厂直供,20,49,,,325,2018/2/27,双沟
562468261759 ,劲牌劲酒公司和露酒玫瑰花香型8度275mL单瓶装,20,89,,,17,2018/2/27,劲牌
562989357827 ,牛栏山52度珍品陈酿（银牛）150ml浓香型小瓶白酒,24,4,,,0,2018/2/27,牛栏山
523749894366 ,红星二锅头酒绵柔8陈酿蓝瓶43度500ml白酒酒厂直供,27,1677,老百姓爱喝的二锅头 满减更优惠 天猫自营,满99元减10元,3074,2018/2/27,红星
556738841682 ,牛栏山42度2L桶装二锅头+精武鸭锁骨150g组合装,27.9,30,,,76,2018/2/27,牛栏山
537013830676 ,江小白品鉴酒更多优惠请见详情页非卖品请勿下单！,29,121,单纯高粱酿造 精制包装 特色语录,,67514,2018/2/27,江小白
521044476993 ,致中和果酒 青梅酒10度白酒200ml/瓶聚会女生用酒,29,415,整箱更优惠,满2件7.5折,10230,2018/2/27,致中和
45809251206 ,致中和白酒莲子酒42度125ml/瓶建德特产酒厂直供,29,27,本土红莲酿造 口感清雅醇香,满2件7.5折,4066,2018/2/27,致中和
552360897943 ,古井特曲50度500ml浓香白酒古井贡酒股份平价酒,29,71,古井特曲,满99元减30元,1827,2018/2/27,古井贡酒
530440341343 ,牛栏山二锅头白酒 出口美国型56度750ml 清香型白酒,29.9,215,正宗牛栏山 地道北京味 正品特惠,,850,2018/2/27,牛栏山
35263656074 ,红星二锅头酒苏扁50度 500ml清香型白酒酒厂直供,34,348,老百姓爱喝的二锅头 天猫自营 百城次日达,满99元减10元,693,2018/2/27,红星
541217125531 ,劲牌劲酒公司露酒32度追风活力500ml 瓶装 白酒,35,955,品味美酒,满2件5折,2473,2018/2/27,劲酒
523751413489 ,红星二锅头酒绵柔8陈酿蓝瓶43度 750ml白酒酒厂直供,37,1252,老百姓爱喝的二锅头 满减更优惠 天猫自营,满99元减10元,4962,2018/2/27,红星
533909513991 ,汾酒 山西杏花村竹叶青酒38度玻竹475ml清香型酒,37.9,535,竹叶青 露酒,,2874,2018/2/27,汾酒
533859373238 ,牛栏山珍品陈酿52度(金牛)500ml浓香型新品金牛,38,66,正宗牛栏山 地道北京味,,347,2018/2/27,牛栏山
523726503584 ,红星二锅头酒绵柔8陈酿53度 750ml白酒酒厂直供,38.9,1085,老百姓爱喝的二锅头 满减更优惠 天猫自营,满99元减10元,5856,2018/2/27,红星
533832146187 ,牛栏山(金牛)珍品陈酿39度500ml浓香型 珍品金牛,39,116,正宗牛栏山 地道北京味,,806,2018/2/27,牛栏山
534311990085 ,红星二锅头酒 60度 2L桶装清香型泡酒自营商品,39,149,中华老字号 老百姓 爱喝的酒 狂欢嗨购中,,628,2018/2/27,红星
521927873698 ,【天猫超市】五粮液股份公司 富贵天下 精品级 52度 500mL 白酒,39,797,需要礼袋 请拍双只装,满2件送任意1件赠品（赠完即止）,614,2018/2/27,五粮液
521701149323 ,洋河 蓝优42度480ml 白酒蓝色经典之白酒酒厂直供,39.6,366,,,8184,2018/2/27,洋河
522678601441 ,【天猫超市】西凤 相约百年F10 52度 500mL 浓香型 白酒,39.9,713,陕西西凤酒,,1569,2018/2/27,西凤
557641084006 ,双沟青优42度200ml*2猫超新品小酒超值优惠酒厂直供,40,2,,,10,2018/2/27,双沟
541866022474 ,洋河 炫彩50度480mL单瓶装白酒 4款颜色随机发货,41,2492,需要4种颜色 请拍整箱装,,15655,2018/2/27,洋河
521072115557 ,汾酒杏花村53度黄盖玻汾475ml清香型白酒酒厂直供,42,1872,官方授权 天猫配送 保真快捷,,2424,2018/2/27,汾酒
561356781714 ,山西汾酒杏花村竹叶青酒45度出口竹玻璃瓶500mL单瓶装酒厂直供,42,1045,详情页领券满199减25,,510,2018/2/27,汾酒
530247541394 ,牛栏山 百年红（6） 35度 单瓶装 500ml 口感浓香型,42,73,单笔订单 送一个礼袋 如需多个礼袋 请拍套装,满2件送任意1件赠品（赠完即止）,179,2018/2/27,牛栏山
537498161984 ,牛栏山 百年红（6） 50度 单瓶装 500ml 口感浓香型,42,141,正宗牛栏山地道北京味,满2件送任意1件赠品（赠完即止）,86,2018/2/27,牛栏山
525495267894 ,牛栏山 珍品（15） 45度 单瓶装 400ml 口感清香型,45,311,单笔订单 送一个礼袋 如需多个礼袋 请拍套装,满2件送任意1件赠品（赠完即止）,652,2018/2/27,牛栏山
541673010450 ,白云边5年陈酿五年42度 500mL浓酱兼香型白酒特价,46.5,4,湖北名酒 纯粮发酵 新老包装随机发货,,226,2018/2/27,白云边
521690391914 ,洋河 蓝优52度480ml 浓香型 白酒 猫超自营品质保证,46.8,174,,,832,2018/2/27,洋河
552568278306 ,古井礼品酒50度500ml浓香白酒古井贡酒股份平价酒,48,50,天猫自营 百城次日达,满99元减30元,1567,2018/2/27,古井贡酒
530247377767 ,牛栏山 百年红（8） 38度 单瓶装 500ml 口感浓香型,48,294,如需礼袋 请拍整箱装,满2件送任意1件赠品（赠完即止）,396,2018/2/27,牛栏山
537381935195 ,牛栏山二锅头珍品（30） 53度125ml 清香型白酒 小酒版,48,123,,,138,2018/2/27,牛栏山
535760560780 ,【天猫超市】五粮液股份公司 纳福彰显尊贵 精品级52度500mL白酒,49,534,,,20568,2018/2/27,五粮液
541976871026 ,【天猫超市】西凤 西凤名酿尊品级 52度 500mL 白酒 浓香型,49,520,,,441,2018/2/27,西凤
538847580125 ,安达情闷倒驴60度草原一家人3斤清香型白酒蒙古烈酒,49,119,纯粮高度酒 好喝不上头,,158,2018/2/27,安达情
556607534956 ,五粮液股份尖庄贰零零玖50度450ml浓香型国产白酒,49.8,332,四川宜宾产,,188,2018/2/27,五粮液
541907786134 ,贵州茅台集团循环产投封坛1992铂金版 500mL白酒,49.9,1591,,满2件8折,7910,2018/2/27,茅台
43741095990 ,剑南春陈坛特曲52度白酒500ml 纯粮酿造高度白酒,52,1739,需要礼袋请拍2瓶礼袋装,满2件5折,3530,2018/2/27,剑南春
529773396271 ,五粮液股份公司 富贵天下绵纯级 500ml 52度 白酒,52,5092,,满2件5折,2433,2018/2/27,五粮液
22203379569 ,劲牌 中国劲酒35度 680mL 瓶装低度白酒 单瓶装,52,202,此商品净含量为 680ml 请查看详情页,,1126,2018/2/27,劲酒
41394227540 ,古井贡酒经典老窖50度500ml浓香型白酒纯粮酒古井贡,52,570,,满2件7.5折,544,2018/2/27,古井贡酒
530274276768 ,牛栏山 二锅头桶装 62度 5L大桶实惠大容量白酒,52.9,1058,正宗牛栏山 地道北京味,,1188,2018/2/27,牛栏山
530247621061 ,牛栏山桶装二锅头清香型 56度 5L大壶酒 泡药酒,55,1744,正宗牛栏山 地道北京味,,11046,2018/2/27,牛栏山
531000636614 ,牛栏山二锅头白酒62度5L大桶装泡药酒牛栏山酒,55,1372,正宗牛栏山 地道北京味,,7905,2018/2/27,牛栏山
21921851736 ,四特青花窖藏50度 500ml特香型 白酒家宴酒厂直供,55,322,特香典范 中国四特 猫超自营 百城次日达,满2件送任意1件赠品（赠完即止）,957,2018/2/27,四特
26927856324 ,四特红花窖藏52度 460ml特香型 白酒婚宴酒厂直供,55,93,特香典范 中国四特 猫超自营 百城次日达,,173,2018/2/27,四特
540624673398 ,牛栏山42度珍品陈酿20年土豪金牛500ml浓香型白酒,55,73,,,147,2018/2/27,牛栏山
